"","average_time_between_service","avg_serv_costs","days_to_first_serv","breakdown","machine_size_102","machine_size_62","machine_size_61","machine_size_201","machine_size_202","usage_class"
"293",115,420.1070643625,92,7,1,0,0,0,0,"6"
"294",126,332.550184958571,47,7,1,0,0,0,0,"6"
"295",128,473.7643624,19,7,1,0,0,0,0,"6"
"296",115,309.57600013625,31,7,1,0,0,0,0,"6"
"297",118,314.712404565714,105,7,1,0,0,0,0,"6"
"298",79,346.290733097143,36,7,1,0,0,0,0,"6"
"299",91,444.366404307143,217,7,1,0,0,0,0,"6"
"300",45,571.541666666667,104,7,0,0,1,0,0,"5"
"301",266,146.350075676333,134,7,0,0,1,0,0,"3"
"302",136,136.465,146,7,0,0,1,0,0,"3"
"303",169,732.3571078875,134,7,0,1,0,0,0,"5"
"304",199,781.827826968571,133,7,0,1,0,0,0,"2"
"305",163,733.90379516125,181,7,0,1,0,0,0,"5"
"306",138,436.62943941625,352,7,0,1,0,0,0,"1"
"307",109,234.50044304875,66,7,0,1,0,0,0,"3"
"308",139,434.10319015,368,7,0,1,0,0,0,"1"
"309",111,528.6522213125,176,7,0,1,0,0,0,"5"
"310",103,408.581327182857,5,7,0,1,0,0,0,"6"
"311",113,294.6423618625,28,7,0,1,0,0,0,"6"
"312",131,571.8751809,120,7,0,1,0,0,0,"5"
"313",113,443.187646163333,101,7,0,1,0,0,0,"6"
"314",113,411.86126224375,169,7,0,1,0,0,0,"6"
"315",117,309.16716257375,59,7,0,1,0,0,0,"6"
"316",98,300.651157232222,265,7,0,1,0,0,0,"6"
"317",113,446.7504308,10,7,0,1,0,0,0,"6"
"318",132,354.846987547143,97,7,0,1,0,0,0,"6"
"319",98,335.485129477778,66,7,0,1,0,0,0,"6"
"320",131,352.890016561429,48,7,0,1,0,0,0,"6"
"321",80,344.486211522222,44,7,0,1,0,0,0,"6"
"322",120,369.614781854286,8,7,0,1,0,0,0,"6"
"323",90,296.4626157725,9,7,0,1,0,0,0,"6"
"324",81,283.385520745,6,7,0,1,0,0,0,"6"
"325",63,428.6128159125,45,7,0,1,0,0,0,"6"
"326",351,162.2246905875,316,7,0,0,0,0,0,"1"
"327",17,182.428333333333,46,6,0,0,0,0,0,"3"
"328",229,241.595,78,6,0,0,0,0,0,"6"
"329",120,266.762142857143,60,0,0,0,0,0,0,"6"
"330",175,342.917777777778,0,6,0,0,0,0,0,"6"
"331",286,243.993333333333,364,6,0,0,0,0,0,"1"
"332",289,445.815,0,6,0,0,0,0,0,"6"
"333",159,337.867,0,6,0,0,0,0,0,"6"
"334",205,311.46125,176,6,0,0,0,0,0,"6"
"335",266,652.196,210,6,0,0,0,0,0,"5"
"336",237,405.081428571429,324,6,0,0,0,0,0,"1"
"337",348,370.524,183,6,0,0,0,0,0,"1"
"338",150,360.989,92,6,0,0,0,0,0,"6"
"339",137,410.36,139,6,0,0,0,0,0,"6"
"340",102,680.344953403077,19,6,0,0,0,0,0,"5"
"341",170,399.717666375,122,6,0,0,0,0,0,"6"
"342",140,604.771111111111,50,6,0,0,0,0,0,"5"
"343",135,363.068181818182,18,6,0,0,0,0,0,"6"
"344",163,531.335,54,6,0,0,0,0,0,"5"
"345",160,798.03057841,0,6,0,0,0,0,0,"5"
"346",69,124.885,62,6,0,0,0,0,0,"3"
"347",320,419.645,245,6,0,0,0,0,0,"1"
"348",154,655.5468527,196,6,1,0,0,0,0,"5"
"349",254,447.189884633333,201,6,1,0,0,0,0,"6"
"350",236,405.49021775,83,6,1,0,0,0,0,"6"
"351",177,673.420333928571,44,6,1,0,0,0,0,"5"
"352",184,449.707823542857,43,6,1,0,0,0,0,"6"
"353",177,498.270037155714,16,6,1,0,0,0,0,"5"
"354",193,573.781745437143,320,6,1,0,0,0,0,"5"
"355",102,352.48815845,81,6,1,0,0,0,0,"6"
"356",181,836.778321328571,342,6,1,0,0,0,0,"2"
"357",150,315.61385291,22,6,1,0,0,0,0,"6"
"358",164,327.055998771667,42,6,1,0,0,0,0,"6"
"359",198,422.935093446,156,6,1,0,0,0,0,"6"
"360",133,903.784377885714,22,6,1,0,0,0,0,"2"
"361",229,349.79266018,385,6,1,0,0,0,0,"1"
"362",133,665.927975392857,2,6,1,0,0,0,0,"5"
"363",153,376.097908097143,48,6,1,0,0,0,0,"6"
"364",137,301.90010733,54,6,1,0,0,0,0,"6"
"365",180,651.00871049,77,6,1,0,0,0,0,"5"
"366",144,421.27593036,4,6,1,0,0,0,0,"6"
"367",148,261.140027467143,87,6,1,0,0,0,0,"6"
"368",131,354.492232224286,8,6,1,0,0,0,0,"6"
"369",162,513.445615,88,6,1,0,0,0,0,"5"
"370",128,276.82655064,52,6,1,0,0,0,0,"6"
"371",127,654.9791686,44,6,1,0,0,0,0,"5"
"372",199,326.9514927,1,6,1,0,0,0,0,"6"
"373",91,361.067605542857,213,6,1,0,0,0,0,"6"
"374",59,393.702998815714,111,6,1,0,0,0,0,"6"
"375",89,324.893533083333,12,6,1,0,0,0,0,"6"
"376",64,487.259217816667,28,6,1,0,0,0,0,"6"
"377",109,30.22,90,0,0,0,1,0,0,"3"
"378",178,129.855555555556,0,6,0,0,1,0,0,"3"
"379",115,157.7,329,6,0,0,1,0,0,"1"
"380",83,285.048169984286,67,6,0,0,1,0,0,"6"
"381",36,238.461287358889,13,6,0,0,1,0,0,"3"
"382",83,52.124126788,32,6,0,0,1,0,0,"3"
"383",237,290.164308066667,102,6,0,1,0,0,0,"6"
"384",197,296.280007314286,49,6,0,1,0,0,0,"6"
"385",123,342.011615742857,12,6,0,1,0,0,0,"6"
"386",194,443.693995226667,76,6,0,1,0,0,0,"6"
"387",152,692.441933,191,6,0,1,0,0,0,"5"
"388",177,363.558794385714,498,6,0,1,0,0,0,"1"
"389",161,472.119368457143,110,6,0,1,0,0,0,"6"
"390",156,323.738614957143,101,6,0,1,0,0,0,"6"
"391",141,605.891341043333,40,6,0,1,0,0,0,"5"
"392",127,568.634632475,152,6,0,1,0,0,0,"5"
"393",126,838.990174302857,324,6,0,1,0,0,0,"2"
"394",127,372.394470728571,40,6,0,1,0,0,0,"6"
"395",125,661.594956033333,144,6,0,1,0,0,0,"5"
"396",126,368.095065228571,223,6,0,1,0,0,0,"6"
"397",114,789.246696057143,31,6,0,1,0,0,0,"5"
"398",166,605.679101316667,70,6,0,1,0,0,0,"5"
"399",124,342.129168542857,157,6,0,1,0,0,0,"6"
"400",140,398.541567823333,17,6,0,1,0,0,0,"6"
"401",124,464.827532614286,24,6,0,1,0,0,0,"6"
"402",136,512.77707026,78,6,0,1,0,0,0,"5"
"403",147,450.692706,67,6,0,1,0,0,0,"6"
"404",101,369.861813416667,176,6,0,1,0,0,0,"6"
"405",22,361.254321818571,54,6,0,1,0,0,0,"6"
"406",89,70.214392292,83,6,1,0,0,0,0,"3"
"407",75,333.622,215,5,0,0,0,0,0,"6"
"408",401,412.866,181,0,0,0,0,0,0,"1"
"409",168,376.386,81,5,0,0,0,0,0,"6"
"410",168,376.386,81,0,0,0,0,0,0,"6"
"411",175,342.917777777778,0,0,0,0,0,0,0,"6"
"412",234,233.701428571429,0,5,0,0,0,0,0,"3"
"413",293,272.055,31,5,0,0,0,0,0,"6"
"414",238,382.628571428571,3,5,0,0,0,0,0,"6"
"415",211,466.35,37,5,0,0,0,0,0,"6"
"416",238,457.978571428571,320,5,0,0,0,0,0,"1"
"417",267,539.396,670,5,0,0,0,0,0,"1"
"418",232,408.28,20,5,0,0,0,0,0,"6"
"419",156,584.09,0,5,0,0,0,0,0,"5"
"420",250,371.16,117,5,0,0,0,0,0,"6"
"421",445,460.08,236,5,0,0,0,0,0,"1"
"422",144,158.308571428571,63,5,0,0,0,0,0,"3"
"423",159,424.81125,0,5,0,0,0,0,0,"6"
"424",128,471.725312767,33,5,0,0,0,0,0,"6"
"425",374,409.4225,0,5,0,0,0,0,0,"6"
"426",115,384.31,78,5,0,0,0,0,0,"6"
"427",207,505.18,34,5,0,0,0,0,0,"5"
"428",148,383.87375,314,5,0,0,0,0,0,"1"
"429",147,437.331666666667,2,5,0,0,0,0,0,"6"
"430",95,120.746,125,5,0,0,0,0,0,"3"
"431",465,61.48161869,465,5,0,0,0,0,0,"1"
"432",1,663.54292175,1,5,1,0,0,0,0,"5"
"433",187,526.217085395714,187,5,1,0,0,0,0,"5"
"434",270,256.792675315,35,5,1,0,0,0,0,"6"
"435",159,623.378170711667,13,5,1,0,0,0,0,"5"
"436",141,345.216518466667,34,5,1,0,0,0,0,"6"
"437",199,648.477281066667,38,5,1,0,0,0,0,"5"
"438",197,349.63495902,355,5,1,0,0,0,0,"1"
"439",226,294.26072412,50,5,1,0,0,0,0,"6"
"440",210,791.154675876667,289,5,1,0,0,0,0,"2"
"441",231,410.880261958,15,5,1,0,0,0,0,"6"
"442",197,513.977770833333,208,5,1,0,0,0,0,"5"
"443",175,354.338301283333,293,5,1,0,0,0,0,"1"
"444",187,275.67633148,63,5,1,0,0,0,0,"6"
"445",173,289.846346376667,84,5,1,0,0,0,0,"6"
"446",176,732.61966658,73,5,1,0,0,0,0,"5"
"447",148,237.536498231667,133,5,1,0,0,0,0,"3"
"448",230,628.28395476,151,5,1,0,0,0,0,"5"
"449",181,206.317691325,265,5,1,0,0,0,0,"1"
"450",220,368.35569723,189,5,1,0,0,0,0,"6"
"451",152,403.66198228,172,5,1,0,0,0,0,"6"
"452",162,255.121520848,42,5,1,0,0,0,0,"6"
"453",216,294.17852534,47,5,1,0,0,0,0,"6"
"454",128,463.92751901,131,5,1,0,0,0,0,"6"
"455",154,463.072109216667,18,5,1,0,0,0,0,"6"
"456",66,296.490369137143,71,5,1,0,0,0,0,"6"
"457",141,315.75131611,50,5,1,0,0,0,0,"6"
"458",121,556.742336727143,60,5,1,0,0,0,0,"5"
"459",130,560.47089653,7,5,1,0,0,0,0,"5"
"460",116,517.05101715,43,5,1,0,0,0,0,"5"
"461",104,260.1553926,59,5,1,0,0,0,0,"3"
"462",60,767.872833175,63,5,1,0,0,0,0,"5"
